Player Name,PlayerId,Position,Sport,Team,Salary
,,,,,
J.J. Watt,WattJ.00,DE,NFL,HOU,"$13,969,000"
Aaron Donald,DonaAa00,DT,NFL,STL,"$2,303,750"
Cam Newton,NewtCa00,QB,NFL,CAR,"$13,000,000"
Andrew Whitworth,WhitAn20,T,NFL,CIN,"$7,200,000"
Russell Wilson,WilsRu00,QB,NFL,SEA,"$7,054,868"
Geno Atkins,AtkiGe99,DT,NFL,CIN,"$9,000,000"
Tom Brady,BradTo00,QB,NFL,NWE,"$14,000,000"
Antonio Brown,BrowAn04,WR,NFL,PIT,"$7,120,833"
Von Miller,MillVo00,OLB,NFL,DEN,"$9,754,000"
Thomas Davis,DaviTh20,OLB,NFL,CAR,"$7,650,000"
Julio Jones,JoneJu02,WR,NFL,ATL,"$12,400,000"
Carson Palmer,PalmCa00,QB,NFL,ARI,"$7,375,000"
Alex Smith,SmitAl03,QB,NFL,KAN,"$15,600,000"
Muhammad Wilkerson,WilkMu00,DE,NFL,NYJ,"$6,969,000"
Luke Kuechly,KuecLu00,MLB,NFL,CAR,"$6,697,018"
Josh Norman,NormJo01,DB,NFL,CAR,"$1,591,750"
Bobby Wagner,WagnBo00,MLB,NFL,SEA,"$2,970,663"
Blake Bortles,BortBl00,QB,NFL,JAX,"$4,694,273"
NaVorro Bowman,BowmNa99,MLB,NFL,SFO,"$8,404,000"
Drew Brees,BreeDr00,QB,NFL,NOR,"$23,800,000"
David DeCastro,DeCaDa00,G,NFL,PIT,"$2,486,240"
Derrick Johnson,JohnDe25,MLB,NFL,KAN,"$5,250,000"
Khalil Mack,MackKh00,OLB,NFL,OAK,"$4,244,773"
Eli Manning,MannEl00,QB,NFL,NYG,"$14,450,000"
Adrian Peterson,PeteAd01,RB,NFL,MIN,"$15,650,000"
Aaron Rodgers,RodgAa00,QB,NFL,GNB,"$18,250,000"
Richard Sherman,SherRi00,DB,NFL,SEA,"$12,200,000"
Kawann Short,ShorKa00,DT,NFL,CAR,"$1,262,819"
Odell Beckham,BeckOd00,WR,NFL,NYG,"$2,365,045"
Teddy Bridgewater,BridTe00,QB,NFL,MIN,"$1,556,705"
Calais Campbell,CampCa99,DE,NFL,ARI,"$14,750,000"
Derek Carr,CarrDe02,QB,NFL,OAK,"$1,220,864"
Fletcher Cox,CoxxFl00,DT,NFL,PHI,"$3,258,563"
Andy Dalton,DaltAn00,QB,NFL,CIN,"$9,600,000"
Ryan Fitzpatrick,FitzRy00,QB,NFL,NYJ,"$3,250,000"
A.J. Green,GreeA.00,WR,NFL,CIN,"$14,750,000"
Chris Harris,HarrCh01,DB,NFL,DEN,"$3,000,000"
Ryan Kalil,KaliRy20,C,NFL,CAR,"$11,795,000"
Brandon Marshall,MarsBr00,WR,NFL,NYJ,"$9,000,000"
Reggie Nelson,NelsRe99,S,NFL,CIN,"$4,775,000"
Matt Ryan,RyanMa00,QB,NFL,ATL,"$19,500,000"
Matthew Stafford,StafMa00,QB,NFL,DET,"$17,721,250"
Tyrod Taylor,TaylTy00,QB,NFL,BUF,"$883,333"
Trent Williams,WillTr21,T,NFL,WAS,"$10,664,763"
Jameis Winston,WinsJa00,QB,NFL,TAM,"$4,609,323"
Ezekiel Ansah,AnsaEz00,DE,NFL,DET,"$5,071,228"
Michael Bennett,BennMi99,DE,NFL,SEA,"$8,000,000"
Jamie Collins,CollJa00,OLB,NFL,NWE,"$1,025,728"
Kirk Cousins,CousKi00,QB,NFL,WAS,"$778,172"
Jay Cutler,CutlJa00,QB,NFL,CHI,"$16,500,000"
Carlos Dunlap,DunlCa99,DE,NFL,CIN,"$4,900,000"
Rob Gronkowski,GronRo00,TE,NFL,NWE,"$8,650,000"
Mike Iupati,IupaMi20,G,NFL,ARI,"$6,700,000"
Clay Matthews,MattCl99,OLB,NFL,GNB,"$12,700,000"
Greg Olsen,OlseGr00,TE,NFL,CAR,"$6,300,000"
Patrick Peterson,PetePa00,DB,NFL,ARI,"$14,791,491"
Philip Rivers,RivePh00,QB,NFL,SDG,"$21,166,668"
Ben Roethlisberger,RoetBe00,QB,NFL,PIT,"$17,245,000"
Doug Baldwin,BaldDo00,WR,NFL,SEA,"$4,650,000"
Eric Berry,BerrEr99,S,NFL,KAN,"$8,357,700"
Elvis Dumervil,DumeEl20,OLB,NFL,BAL,"$7,375,000"
Larry Fitzgerald,FitzLa00,WR,NFL,ARI,"$10,850,000"
Devonta Freeman,FreeDe00,RB,NFL,ATL,"$631,106"
Garry Gilliam,GillGa01,G,NFL,SEA,"$514,000"
Everson Griffen,GrifEv99,DE,NFL,MIN,"$8,200,000"
DeAndre Hopkins,HopkDe00,WR,NFL,HOU,"$2,080,009"
Chandler Jones,JoneCh03,DE,NFL,NWE,"$2,600,659"
Jeremy Maclin,MaclJe00,WR,NFL,KAN,"$3,400,000"
Doug Martin,MartDo00,RB,NFL,TAM,"$2,159,668"
Julius Peppers,PeppJu99,OLB,NFL,GNB,"$12,000,000"
Marcus Peters,PeteMa00,DB,NFL,KAN,"$1,742,574"
Allen Robinson,RobiAl02,WR,NFL,JAX,"$797,925"
Josh Sitton,SittJo20,G,NFL,GNB,"$7,000,000"
Ryan Tannehill,TannRy00,QB,NFL,MIA,"$4,873,364"
Joe Thomas,ThomJo28,T,NFL,CLE,"$10,200,000"
